Index,Date-Time,Production,SSI,SSIRPrime,SWR,SWRRPrime,
184,23/03/2021 15:00,321.630,556.702,564.170,240.808,257.612,
185,24/03/2021 8:00,1184.662,510.726,517.578,564.458,603.847,
186,24/03/2021 9:00,1670.231,711.240,720.782,756.208,808.978,
187,24/03/2021 10:00,1995.780,939.142,951.741,912.190,975.844,
188,24/03/2021 11:00,1757.564,1016.534,1030.171,992.433,1061.687,
189,24/03/2021 12:00,2121.553,1048.205,1062.267,1005.325,1075.478,
190,24/03/2021 13:00,1690.882,968.150,981.139,940.433,1006.058,
191,24/03/2021 14:00,1301.740,877.406,889.177,803.317,859.373,
192,24/03/2021 15:00,1300.269,717.774,727.403,563.125,602.421,
193,25/03/2021 8:00,1217.060,514.149,521.046,563.067,602.358,
194,25/03/2021 9:00,1712.479,714.494,724.079,646.150,691.239,
195,25/03/2021 10:00,2034.297,941.816,954.451,901.780,964.708,
196,25/03/2021 11:00,2162.175,1019.018,1032.689,1012.917,1083.599,
197,25/03/2021 12:00,2183.092,1050.952,1065.051,1029.992,1101.866,
198,25/03/2021 13:00,2075.590,972.644,985.693,962.308,1029.460,
199,25/03/2021 14:00,1786.329,878.779,890.568,820.817,878.094,
200,25/03/2021 15:00,1329.455,718.902,728.547,615.283,658.219,
201,26/03/2021 8:00,1198.078,517.547,524.490,536.275,573.697,
202,26/03/2021 9:00,1652.529,717.719,727.347,699.125,747.911,
203,26/03/2021 10:00,1982.796,944.464,957.134,863.620,923.885,
204,26/03/2021 11:00,2136.837,1021.485,1035.189,1030.350,1102.249,
205,26/03/2021 12:00,2156.254,1052.736,1066.859,1039.442,1111.975,
206,26/03/2021 13:00,2021.062,974.677,987.753,970.233,1037.938,
207,26/03/2021 14:00,1723.357,880.103,891.910,827.508,885.253,
208,26/03/2021 15:00,1278.787,719.987,729.646,623.183,666.670,
209,27/03/2021 8:00,1169.057,520.921,527.910,587.383,628.372,
210,27/03/2021 9:00,1614.587,720.912,730.583,794.317,849.745,
211,27/03/2021 10:00,1944.951,947.081,959.787,935.840,1001.144,
212,27/03/2021 11:00,2126.086,1023.934,1037.671,1027.308,1098.995,
213,27/03/2021 12:00,2147.114,1054.515,1068.662,1043.358,1116.165,
214,27/03/2021 13:00,2018.776,976.219,989.316,971.583,1039.382,
215,27/03/2021 14:00,1718.083,881.378,893.202,829.025,886.876,
216,27/03/2021 15:00,1262.548,721.028,730.701,623.417,666.920,
